id,created_at,text,retweet_count,favorite_count,source
1843559239689904128,Tue Oct 08 07:49:09 +0000 2024,"@akiramenaiwoman ヨシダさん！ありがとうございます！
こちらからもガン見しちゃいます！よろしくお願いします！",0,1,Twitter Web App
1843558985963843782,Tue Oct 08 07:48:08 +0000 2024,"@yu_uri_business ゆうりさん！ありがとうございます！
こちらこそ、これからもよろしくお願いします！
一緒にぶち上げましょう！",0,1,Twitter Web App
1843302723430834505,Mon Oct 07 14:49:50 +0000 2024,"@okknews ひでもんきーさん！ありがとうございます😊
いつも盛り上げ感謝です🫂今後の活躍期待してます！",0,1,Twitter for iPhone
1843302560280756686,Mon Oct 07 14:49:11 +0000 2024,"@sorao_mov そらおさん！ありがとうございます😊
ものすごいスピードで駆け抜けていくので、しっかり着いてきてくださいね！",0,1,Twitter for iPhone
1843302431935111473,Mon Oct 07 14:48:41 +0000 2024,"@aiehon_aya アーヤさん！ありがとうございます！
良かったです！これからも夢見せていきます！",0,1,Twitter for iPhone
1843302315287323111,Mon Oct 07 14:48:13 +0000 2024,@hassy_footbag11 ハッシーさんありがとうございます！なんだかんだ長い付き合いになってきましたね！これからもよろしくです！,0,1,Twitter for iPhone
1843301691996951033,Mon Oct 07 14:45:44 +0000 2024,"@uniyume かなまるさんありがとうございます！
このまま突き進みましょう！",0,1,Twitter for iPhone
1843301586845712574,Mon Oct 07 14:45:19 +0000 2024,@mintia_ai 別の投稿ですね！,0,1,Twitter for iPhone
1843301347715879225,Mon Oct 07 14:44:22 +0000 2024,みなさんお祝いのメッセージをありがとうございます。順次返していきます！,0,7,Twitter for iPhone
1843301199430463703,Mon Oct 07 14:43:47 +0000 2024,5.2imp,0,4,Twitter for iPhone
1843148684600742082,Mon Oct 07 04:37:45 +0000 2024,@aiehon_aya 🧚,0,2,Twitter for iPhone
1843148660533764306,Mon Oct 07 04:37:39 +0000 2024,@loglogrog 🦉,0,1,Twitter for iPhone
1843146894480130392,Mon Oct 07 04:30:38 +0000 2024,@taco_01AI 🐑,0,0,Twitter Web App
1843146755892023771,Mon Oct 07 04:30:05 +0000 2024,"@pengoo_writer かみねさん！ありがとうございます！
お嬢様シリーズ良い感じですね！このまま突き進みましょう！",0,1,Twitter Web App
1843145482149019787,Mon Oct 07 04:25:01 +0000 2024,"【ご報告】
マジで信じられれないけど、今日で私一段上に行きます😅
振り返るとこの１年は、ガチでクレイジーだった。
ブラック企業で働きながら必死に副業→AIに出会って熱中→脱サラ→独立
→気づいたら年商1億達成✨新組織も立ち上げた。

これ全部AIのおかげ。いや、違う。… https://t.co/V52MwDb4yB",10,256,xtep
1843048601687388206,Sun Oct 06 22:00:03 +0000 2024,"【衝撃】本当は秘密にしたかった、天才的AIハック術。
今回は特別に公開するので最後まで読んで…

9割のAIユーザーが陥る落とし穴…
「ChatGPTを使っても、イマイチな回答しか出ない😓」
その悩み、3分で解決します。
AIのプロが編み出した、
驚異の「神プロンプト」テクニック。
これを知らないと、…",13,677,xtep
1842825194928537913,Sun Oct 06 07:12:19 +0000 2024,"@rest_8888 おーおめでとう御座います🥳
記事楽しみ！",0,5,Twitter for iPhone
1842778035009081820,Sun Oct 06 04:04:55 +0000 2024,"@mochibekoujyou わかります。頭使うし食べてしまいます。
運動しまくる💪",0,1,Twitter for iPhone
1842777874027200932,Sun Oct 06 04:04:16 +0000 2024,@yarakashiyama_ このまま10キロまで行きまっす！,0,1,Twitter for iPhone
1842777790145564946,Sun Oct 06 04:03:56 +0000 2024,@unikoukokun ユニコさんのマックに誘惑されてます💦,0,1,Twitter for iPhone
1842744925026476529,Sun Oct 06 01:53:21 +0000 2024,@michipo5 ローンチ毎月やりましょ,0,0,Twitter for iPhone
1842686208503328839,Sat Oct 05 22:00:02 +0000 2024,"正直ガチでヤバいです...

週2回のパーソナルと食事制限を始めてたったの1か月で
4キロ減量達成。

AIに向き合ってばかりだからこそ、健康管理が超重要。
睡眠・食事・運動、全部大切にした結果...

・仕事の生産性爆上がり
・AIアイデア量産
・マネタイズ力向上…",2,85,xtep
1842612811878346833,Sat Oct 05 17:08:23 +0000 2024,@michipo5 学習させて朗読botにします！,0,3,Twitter for iPhone
1842526134812168347,Sat Oct 05 11:23:57 +0000 2024,@SARU_CEO @Raira_AI はい記載してます！全く同じは技術的に難しいと思いますが、同じ演者で同じAI美女使えばほとんど同じになるかと。,0,1,Twitter for iPhone
1842507271525351849,Sat Oct 05 10:09:00 +0000 2024,"これヤバい！検索AIツールの「Felo」が無料でパワポ生成に対応😳

特徴👇
・UIと検索精度はPerplexityそっくり
・パワポとマインドマップ出力機能搭載
・豊富なパワポテンプレート
・無料でサクッと可視化できる

AIツール組み合わせで
仕事効率爆上がり間違いなし🔥

https://t.co/DC3ZPncvgQ",1,75,Twitter Web App
1842419270162297195,Sat Oct 05 04:19:19 +0000 2024,@lbFz1mLyENJqoHH それはナイスアイデア,0,1,Twitter for iPhone
1842418375227838513,Sat Oct 05 04:15:45 +0000 2024,@fpikumi2kids 最強のあの方が,0,2,Twitter for iPhone
1842418270219231295,Sat Oct 05 04:15:20 +0000 2024,@shiozaki_yuma YouTubeどんどん変わっていきそうですね、！,0,1,Twitter for iPhone
1842417956128748014,Sat Oct 05 04:14:05 +0000 2024,@CreateJef どんどん進化していきますね！,0,1,Twitter for iPhone
